id	timestamp	hypothesis	change	result	decision	evidence
work-discovery-restart-recovery-red-050	2026-08-30T17:39:06.3185266+09:00	A persisted synthesizing session should be resumed automatically and finish from its saved observations and snapshots	Added a public service recovery test with a provider that throws if live sources are read	FAIL	INCONCLUSIVE	Targeted service test 7 tests: 1 failed because autoResume is not implemented; the persisted session remained synthesizing and no replay case was written.
work-discovery-restart-recovery-keep-051	2026-08-30T17:44:46.5492214+09:00	Startup recovery can safely resume a complete synthesis checkpoint while leaving terminal sessions untouched by the scheduler	Add persisted session listing, opt-in production startup recovery, manifest validation/loading, safe clean restart fallback, session-scoped idempotent snapshot records, and resumed replay persistence	PASS	KEEP	Targeted Work Discovery/repository 3 files/15 tests PASS; Core typecheck PASS; diff check PASS with existing CRLF normalization warnings. Recovery test throws on any live provider call and still reaches needs_clarification with one replay case.
work-discovery-restart-recovery-final-052	2026-08-30T17:49:04.2949810+09:00	The kept recovery slice must remain green across the complete Core regression surface and architecture boundary checks	Ran the targeted recovery evaluator, full Core test suite, Core typecheck, dependency-cruiser architecture check, and git diff --check after the final patch	PASS	KEEP	Targeted Work Discovery/repository 3 files/16 tests PASS; full Core 107 files/470 tests PASS; typecheck PASS; architecture check PASS with 474 modules and 1637 dependencies; diff check PASS with existing CRLF normalization warnings.
work-discovery-restart-recovery-build-053	2026-08-30T17:50:32.1076136+09:00	The recovery wiring must compile through both the Core package and the desktop application that constructs it	Ran the Core TypeScript build and the Electron desktop production build after the recovery patch	PASS	KEEP	Core build PASS; desktop build PASS after transforming 660 main, 1 preload, and 1238 renderer modules. Existing dynamic-import bundling warning in db.ts was unchanged and non-failing.
work-discovery-bounded-retry-baseline-054	2026-08-30T17:53:42.9400100+09:00	The existing recovery and command boundaries provide a stable baseline before bounded retry behavior is added	Ran the targeted Work Discovery/command/e2e evaluator, Core typecheck, and git diff --check before adding retry coverage	PASS	BASELINE	Targeted 3 files/32 tests PASS; Core typecheck PASS; diff check PASS with existing CRLF normalization warnings; no needs_attention or discovery.retry behavior exists yet.
work-discovery-bounded-retry-red-055	2026-08-30T17:55:43.1755874+09:00	Automatic recovery must stop after one attempt, expose needs_attention, and allow an explicit retry through the command boundary	Added tests for recovery-attempt exhaustion, checkpoint retry, terminal-session exclusion, stale retry conflict, and agent command visibility	FAIL	INCONCLUSIVE	Targeted service/command tests ran 2 files/30 tests with 4 failures: no needs_attention state or retry API exists, and the command list has no discovery.retry entry.
work-discovery-bounded-retry-keep-056	2026-08-30T18:01:46.7604464+09:00	Bounded recovery can expose a durable attention state and require an explicit current-revision retry without creating a retry loop	Add needs_attention schema/state-machine support, persist one automatic attempt and its checkpoint, block second startup retries, add discovery.retry, and reject unavailable checkpoint data before live reads	PASS	KEEP	Targeted service/command tests 2 files/30 tests PASS; full Core 107 files/474 tests PASS; Core typecheck, architecture check (474 modules/1637 dependencies), Core build, desktop build, and diff check PASS.
work-discovery-bounded-retry-final-057	2026-08-30T18:03:44.2597768+09:00	The final retry contract must remain green after requiring expectedRevision on manual retry	Reran the targeted service/command tests, full Core suite, Core typecheck, architecture check, Core build, desktop build, and git diff --check after the final API tightening	PASS	KEEP	Targeted service/command tests 2 files/30 tests PASS; full Core 107 files/474 tests PASS; typecheck, architecture check (474 modules/1637 dependencies), Core build, desktop build, and diff check PASS. The existing db.ts dynamic-import bundling warning remains non-failing.
agent-prompt-public-api-baseline-058	unknown	The existing Agent prompt and job registration behavior should provide a stable baseline before public entrypoint wiring	Ran the pre-change Core regression suite before adding Agent public-surface wiring	PASS	BASELINE	Core 114 files/582 tests PASS; the exact wall-clock timestamp was not retained by the terminal output.
agent-prompt-public-api-red-059	2026-08-30T19:06:40+09:00	The new Agent public API test should expose the missing skill-root and job-contract entrypoints	Added a focused test for configured skill loading and the AxJobProposeArgs entrypoint type	FAIL	INCONCLUSIVE	The focused test failed because setAgentSkillsDir was not exported from the Agent entrypoint; the type-only contract was not runtime-visible.
agent-prompt-public-api-keep-060	2026-08-30T19:07:10+09:00	Re-exporting the existing prompt barrel, skills override, and job proposal type should satisfy the public seam without changing runtime behavior	Added Agent and command re-exports and routed existing harness/chat imports through prompt/index.ts	PASS	KEEP	Focused public API tests 2/2 PASS; Core typecheck, architecture check, and Knip no longer report Agent prompt/index, setAgentSkillsDir, or AxJobProposeArgs as unused.
agent-prompt-public-api-final-061	2026-08-30T19:09:28.3631647+09:00	The kept Agent public seam must remain green across the full Core regression surface and build boundary	Ran the full Core suite, Core typecheck, Core build, dependency-cruiser, and git diff --check after the final patch	PASS	KEEP	Core 115 files/584 tests PASS with 2 skipped; typecheck, build, architecture check (483 modules/1665 dependencies), and diff check PASS. Knip retains only unrelated Product QA and desktop dependency warnings.
agent-prompt-public-api-final-062	2026-08-30T19:12:12.7281748+09:00	The frozen targeted Agent evaluator must remain green after the final documentation update	Reran the exact targeted Agent command and git diff --check	PASS	KEEP	Agent prompt/job tests 3 files/17 tests PASS; git diff --check PASS with CRLF normalization warnings only.
local-folder-case-folding-review-063	2026-08-30T19:52:58.5889665+09:00	Unconditional path case folding must preserve the source-root containment invariant on every supported filesystem	Ran the scoped Codex Security review, restored host-aware comparison, and reran the local-folder path-security test	PASS	DISCARD	The WIP lowercasing change was validated as a medium-severity CWE-22 path-traversal risk on POSIX. The current tree uses Windows-only case folding, retains the POSIX regression test, and has no remaining path-security diff; local Windows run passed 4 tests with 3 platform-specific skips.
rdb-row-limit-wip-review-064	2026-08-30T20:32:28.6075485+09:00	The RDB row-limit lower bound must remain at one so zero or fractional input cannot produce an invalid connector limit	Ran the focused RDB config test before and after restoring the lower clamp	PASS	DISCARD	The WIP removal produced 1 focused test failure (expected 1, received 0); restoring the clamp returned the focused suite to 5/5 passed and left no RDB code diff.
product-qa-config-wip-review-065	2026-08-30T20:32:28.6075485+09:00	Product QA configuration changes should remove a measured defect or unused surface rather than alter working command routing	Reviewed the WIP package script, Knip workspace/ignore changes, and unused helper exports; restored invalid routing/config edits and removed the unused exports	PASS	DISCARD	The WIP root test script stopped forwarding arguments to Vitest and the narrowed Knip configuration hid the actual workspace/dependency picture. Restored config passed Knip, root npm test -- --help reached Vitest, and catalog/count checks passed.
product-qa-source-fixture-red-066	unknown	The deterministic Product QA document scenario must have a repository-owned PDF fixture before the attachment flow can be verified	Ran the deterministic Product QA core suite with the scenario's declared sample.pdf dependency	FAIL	INCONCLUSIVE	The first core run failed because test/fixtures/sample.pdf was missing (ENOENT). This failure established the missing fixture as the next bounded WIP item; no production code was changed for this experiment.
product-qa-source-attach-keep-067	2026-08-30T20:32:28.6075485+09:00	A repository-owned PDF fixture and normal UI attach path must make document-source QA deterministic and session-correct	Added a valid sample.pdf fixture, replaced direct E2E Core attachment with a one-shot E2E path setter followed by the normal 자료 추가 button, and tightened exact 새 대화 locators	PASS	KEEP	After the fixture/seam/locator changes, deterministic Product QA core passed 52/52 scenarios; smoke passed once and with repeat=2. The desktop build, desktop typecheck, Knip, architecture check, full Core suite (115 files/587 tests with 3 skips), and root test argument-forwarding check also passed.
product-qa-e2e-boundary-hardening-068	2026-08-30T20:35:49.0327299+09:00	The E2E fixture seam must be unavailable to packaged production and must not accept paths outside the repository fixture root	Added an !app.isPackaged registration fence, conditional preload exposure, canonical realpath/regular-file checks under test/fixtures, and applied the same validation to AX_E2E_SOURCE_PATH	PASS	KEEP	The final security diff scan reviewed all three changed source files and supporting attachment/storage paths with 0 reportable findings; after hardening, the desktop build, typecheck, Knip, and deterministic Product QA smoke passed.
product-qa-e2e-boundary-final-069	2026-08-30T20:40:39.6440422+09:00	The kept Product QA source-attachment and E2E boundary patch must remain green after the final hardening changes	Reran deterministic Product QA core with strict mode and the completed fixture-root/packaged-runtime hardening	PASS	KEEP	All 52 core scenarios passed in 5 Playwright tests using 1 worker; the document fixture attach/read path passed together with the smoke and session-isolation scenarios.
main-based-work-discovery-phase-1-baseline-070	2026-08-30T22:33:10.8302558+09:00	The merged main baseline must pass the frozen session-boundary evaluator before Desktop Discovery changes begin	Ran targeted Work Discovery/Core regression, Desktop typecheck/build, deterministic Product QA smoke, and diff-whitespace checks	PASS	BASELINE	Core 3 files/36 tests, Desktop typecheck/build, Product QA 3 Playwright tests/16 scenarios, and diff-whitespace passed. Existing dirty .gitignore was preserved.
main-based-work-discovery-phase-1-keep-071	2026-08-30T22:43:10.8909222+09:00	Workspace Discovery state must be isolated from chat context and mutating commands must use the inspected revision	Added workspace context invalidation, stale async response guards, expectedRevision on answer/publish, retry IPC, and status-gated cancel/retry UI	PASS	KEEP	Core 3 files/36 tests, Desktop typecheck, Electron build, deterministic Product QA 3 tests/16 scenarios, and git diff --check all passed. Existing .gitignore was preserved.
main-based-work-discovery-phase-2-red-072	2026-08-30T22:46:35.6240530+09:00	Connected local-folder spreadsheet discovery must enumerate configured folders and reject outside source paths	Added regression tests before implementation; the existing adapter returned no sources and attempted to read an invalid decoded path	FAIL	INCONCLUSIVE	Expected red test: 2 tests failed because the adapter reads obsolete folderPath data, does not scan files, and has no containment check. This is the confirmed Phase 2 defect.
main-based-work-discovery-phase-2-keep-073	2026-08-30T22:51:36.9686360+09:00	Connected local-folder configurations must become safe, profileable Work Discovery spreadsheet sources	Enumerated configured folders with bounded CSV/XLS/XLSX scans, encoded folder/file source IDs, contained-file checks, and corrupt/empty workbook handling; added focused regression tests	PASS	KEEP	Local-sheet/path-security 2 files with 7 passing tests and 3 Windows skips, Core regression 36 tests, Core/Desktop typechecks, Desktop build, Product QA 3 tests/16 scenarios, and diff-whitespace all passed. Existing .gitignore was preserved.
main-based-work-discovery-phase-3-baseline-074	2026-08-30T22:55:05.8910829+09:00	The new Desktop Discovery scenario must establish the Electron boundary before Discovery-specific seams and actions are implemented	The existing deterministic Product QA smoke and Core Discovery tests are green, but no Desktop scenario can configure a fixture folder or invoke the Discovery import path	PASS	BASELINE	Current smoke coverage is 3 Playwright tests/16 scenarios and Core Discovery coverage is 36 targeted tests; the requested Desktop import-to-publish path is not yet covered.
main-based-work-discovery-phase-3-red-075	2026-08-30T23:06:18.9814385+09:00	A stored spreadsheet artifact must be observed through the ArtifactStore boundary rather than being returned as an empty document	Added a focused regression test for a stored CSV with a numeric total before changing the observation dispatch	FAIL	INCONCLUSIVE	The test returned zero observations because permissive DocumentArtifactSchema accepted stored file metadata ({id, sha256, fileName, storedPath, size, createdAt}) before the CSV materialization branch.
main-based-work-discovery-phase-3-keep-076	2026-08-30T23:10:55.3038510+09:00	The Desktop Work Discovery path must complete through Electron, preserve chat isolation, and publish a workflow through the real IPC boundary	Guarded Discovery-only fixture seams, covered import-to-publish with deterministic Electron QA, fixed the empty-stage overlay, and prevented stored artifact metadata from short-circuiting spreadsheet observation	PASS	KEEP	The Desktop scenario passed end-to-end; deterministic smoke passed with 4 Playwright tests; Core Discovery regression passed 5 files/40 tests plus the focused observation test; Desktop typecheck/build and git diff --check passed. Existing .gitignore was preserved.
main-based-work-discovery-phase-3-red-077	2026-08-30T23:36:40.7039512+09:00	Persisted workbook JSON must reach workbook observation after metadata is excluded from document parsing	Added a regression test that stores a WorkbookArtifact and its TableArtifact sidecars before changing the dispatch branch	FAIL	INCONCLUSIVE	The focused test returned zero observations because the workbook parse was still nested under the document-marker condition. The same review also identified packaged-gate alignment and cancellable-state coverage as follow-up fixes.
main-based-work-discovery-phase-3-keep-078	2026-08-30T23:39:00.7298363+09:00	The final Desktop Work Discovery patch must preserve document, workbook, and stored-file observation while aligning UI state controls and packaged E2E boundaries	Restored independent document/workbook dispatch, added the persisted-workbook regression, gated artifact overrides on unpackaged Electron, exposed all Core-cancellable review states, and reconciled the Phase 3 scope/evaluator records	PASS	KEEP	Targeted Core regression passed 5 files/41 tests; focused observation regression passed 2 tests; Desktop typecheck/build passed; deterministic Desktop scenario and smoke passed; git diff --check passed. Existing .gitignore was preserved.
main-based-work-discovery-phase-4-baseline-079	2026-08-30T23:47:34.6384599+09:00	Repository-level test commands must resolve to real, bounded suites from a fresh checkout	Ran the declared root test entry points before adding runner files	FAIL	BASELINE	`npm run test:e2e` failed with MODULE_NOT_FOUND for test/e2e/run.mjs and `npm run test:integration` failed with MODULE_NOT_FOUND for test/integration/run.mjs; prior Phase 3 Core regression and whitespace checks were green.
main-based-work-discovery-phase-4-red-080	2026-08-30T23:52:15.9982830+09:00	The Product QA TypeScript project must typecheck the repository test harness after restoring the root E2E entry point	Ran `npx tsc -p test/tsconfig.json --noEmit` after correcting the malformed ScenarioCheck union	FAIL	INCONCLUSIVE	The extra closing brace was fixed, but the next compiler error showed Playwright Electron launch options reject NodeJS.ProcessEnv because optional environment values are not assignable to required strings in the existing buildEnv function.
main-based-work-discovery-phase-4-keep-081	2026-08-30T23:53:52.4849231+09:00	Repository-level E2E and integration commands must execute real bounded suites from the current checkout	Added cross-platform root runners, normalized Playwright launch environment values, and verified the repository test harness	PASS	KEEP	`npm run test:e2e` passed with the desktop build and 4 Playwright tests; `npm run test:integration` passed with 9 Core suites/52 tests; test TypeScript passed; the Phase 3 Core regression passed 3 files/20 tests; and `git diff --check` passed. Existing .gitignore was preserved.
main-based-work-discovery-phase-5-baseline-082	2026-08-30T23:56:23.7122432+09:00	ArtifactStore typed sidecars and filenames must have explicit persistence contracts before Work Discovery relies on them	Inspected the current ArtifactStore, document-engine output types, sidecar readers, and Work Discovery observation path	PASS	BASELINE	Existing Core tests pass, but typed sidecar read/write methods rely on generic casts and putJson/getJson compose caller IDs into paths without an explicit filename-safe contract.
main-based-work-discovery-phase-5-red-083	2026-08-30T23:57:33.1317019+09:00	ArtifactStore typed sidecars and filenames need executable contract tests before implementation	Added invalid document/ingest sidecar, typed workbook/table helper, and filename-escaping ID regressions before changing the store	FAIL	INCONCLUSIVE	The focused store suite failed 3 of 7 tests: typed writes were not rejected, typed workbook helpers were absent, and a path-containing ID reached filesystem access with ENOENT instead of a stable invalid_artifact_id error.
main-based-work-discovery-phase-5-keep-084	2026-08-31T00:06:20.3231640+09:00	ArtifactStore must preserve valid sidecars while rejecting malformed typed data and filesystem-escaping metadata	Added explicit ingest schemas, typed document/workbook/table accessors, filename-safe IDs, contained stored-path validation, and observation call-site migration	PASS	KEEP	ArtifactStore passed 8 tests; typed document/import/workspace/observation regression passed 4 files/16 tests; full Core passed 117 files/603 tests with 3 skips; eval 11/11; Core/Desktop build passed; root integration passed 9 suites/56 tests; root E2E passed 4 Playwright tests; and git diff --check passed. Existing .gitignore was preserved.
main-based-work-discovery-phase-6-baseline-085	2026-08-31T00:11:37.3592856+09:00	The strict dependency rules should describe the current Work Discovery and local-folder architecture before boundary changes	Ran the frozen Phase 6 baseline checks against the Phase 5 commit	FAIL	BASELINE	`npm run arch:check` reports 5 errors: Work Discovery observation test imports local-sheet/read, and local-sheet/discovery-source imports local-folder scan, scan-async, path-security, and connection. Affected Core tests passed 5 files/15 tests with 3 skips; Core typecheck, root integration (9 suites/56 tests), and git diff --check passed.
main-based-work-discovery-phase-6-keep-086	2026-08-31T00:19:39.7830403+09:00	The strict dependency rules should describe the recovered architecture without changing runtime behavior	Moved shared local-folder primitives to the platform boundary, retained compatibility wrappers, updated the Electron worker input, and replaced the Work Discovery implementation import with a contract fixture	PASS	KEEP	`npm run arch:check` passed with zero violations across 491 modules/1690 dependencies; affected Core coverage passed 5 files/15 tests with 3 skips; full Core passed 117 files/603 tests with 3 skips; eval 11/11; Core/Desktop build passed; root integration passed 9 suites/56 tests; root E2E passed 4 Playwright tests including the 14-scenario batch; Core and test typechecks passed; and git diff --check passed. Existing .gitignore was preserved.
main-based-work-discovery-phase-9-baseline-087	2026-08-31T00:33:42.2187761+09:00	A published Work Discovery workflow should reject silent result degradation before external delivery	Ran the Phase 9 checks before adding output contracts or runtime gates	PASS	BASELINE	The existing repository is green (Core 117/603, eval 11/11, architecture and Core typecheck pass), but the requested output-contract test file does not exist and no execution.explain command or semantic drift gate is present. Existing build/integration/E2E results remain covered by the preceding Phase 6 checkpoint.
main-based-work-discovery-phase-9-red-088	2026-08-31T00:52:04.9360315+09:00	The new contract and runtime regression tests must fail before the implementation exists	Added output baseline, input schema, external-send, compile, and execution.explain assertions before implementing their production paths	FAIL	INCONCLUSIVE	The focused suite failed as expected: contract modules were missing, blueprint/compiled input contracts were undefined, and execution.explain was rejected as an unknown command. This confirms the tests exercised the intended gaps.
main-based-work-discovery-phase-9-keep-089	2026-08-31T00:52:16.4803398+09:00	Published Work Discovery workflows must stop silent degradation before external delivery while preserving existing single-sample behavior	Added bounded output/input contracts, runtime input/output gates, sanitized execution.explain, and Desktop activity quality state; regenerated the embedded command skill from its source	PASS	KEEP	Focused Phase 9 checks passed 5 files/51 tests; full Core passed 119 files/609 tests with 3 skips; eval 11/11; architecture passed with zero violations; Core/Desktop builds and typechecks, root integration 9 suites/56 tests, root Electron E2E 4 Playwright tests including the 14-scenario batch, knip, and git diff --check all passed. The 80–120 to 3 fixture sent zero Slack messages, and the one-sample 300 to 600 path remained compatible. Existing .gitignore was preserved.
main-based-work-discovery-phase-10-baseline-090	2026-08-31T01:01:41.9403327+09:00	Phase 10 repair behavior must have a failing seam before implementation and preserve the Phase 9 green baseline	Ran the new repair test paths before adding proposal, replay, or command implementation; reran current runtime, command, architecture, and Core typecheck checks	FAIL	BASELINE	The three new repair test files do not exist yet (Vitest reports no test files); existing engine passed 25 tests, command service passed 19 tests, architecture reported zero violations across 495 modules/1705 dependencies, and Core typecheck passed. Existing .gitignore was preserved.
main-based-work-discovery-phase-10-red-091	2026-08-31T01:19:46.6758917+09:00	Repair candidates, historical replay, persistence, runtime proposal, and command lifecycle must fail before their implementations exist	Added public-seam tests for bounded candidates, source-column rewrite, 3-case replay, proposal persistence/deduplication, runtime proposal creation, and inspect/apply/reject commands before completing the implementations	FAIL	INCONCLUSIVE	The new seams initially failed with missing repair modules/store methods or the expected command-boundary rejection; subsequent vertical slices made each failure green. Existing .gitignore was preserved.
main-based-work-discovery-phase-10-keep-092	2026-08-31T01:26:49.0009816+09:00	A persisted Work Discovery workflow should support conservative, reversible repair without changing workflow meaning	Added bounded rename/remap proposals, sanitized proposal persistence, historical-snapshot replay, list/inspect/apply/reject command gates, and new-version application with the prior version retained	PASS	KEEP	Focused repair/runtime/command checks passed 5 files/54 tests; full Core passed 122 files/620 tests with 3 skips; evaluation passed 11/11; architecture passed with zero violations; Core/Desktop typechecks and builds, root integration (9 suites/56 tests), Product QA/E2E (4 tests including the 14-scenario batch), knip, and git diff --check passed. Existing .gitignore was preserved.
connector-foundation-phase-1-red-093	2026-08-31T12:01:20.2861771+09:00	The three selected connector foundation seams should expose the RDB secret leak, missing receipt recovery, and unstable Webhook retry identity before implementation	Added focused regression tests for the renderer summary, trigger receipt lease, and provider idempotency key	FAIL	INCONCLUSIVE	The RDB summary test exposed the returned remote connection string; the receipt test showed stale processing could not be reclaimed; the Webhook test showed provider retries received fresh UUIDs. Existing Webhook behavior remained 12/12 green.
connector-foundation-phase-1-keep-094	2026-08-31T12:01:20.2861771+09:00	A minimal main-process secret boundary, bounded receipt lease, and provider-key request identity should satisfy the focused acceptance seams without changing unrelated behavior	Removed the renderer-facing RDB credential field, added stale processing reclamation, and selected stable provider event headers with keyless UUID fallback	PASS	KEEP	Focused RDB 1/1, receipt 1/1, and Webhook 14/14 tests passed; Core 123/623 with 3 skips, Core/Desktop/test typechecks, evaluation 11/11, architecture check, production build, integration 9/58, Electron E2E 4 tests, and diff check passed. Existing .gitignore was preserved.
main-based-connector-pdf-phase-2-baseline-095	2026-08-31T12:34:06.4209694+09:00	The existing PDF write path needs a durable generated-report boundary before UI export or Gmail/Slack attachment delivery	Ran the frozen Phase 2 evaluator before adding byte persistence, artifact-sink injection, or PDF action integration tests	PASS	BASELINE	ArtifactStore 6 tests, existing pure PDF 2 files/3 tests, runtime 28 tests, Core 123/634 with 3 skips, evaluation 11/11, architecture, production build, and whitespace checks passed; the requested PDF action test seam and generated-byte persistence contract were absent. Existing .gitignore was preserved.
main-based-connector-pdf-phase-2-red-096	2026-08-31T12:50:37.8018987+09:00	The PDF/store public contracts must fail before implementation rather than silently accepting raw bytes or missing persistence	Added byte-store, PDF action, and runtime sink tests before implementation	FAIL	INCONCLUSIVE	The new store tests failed because putBytes did not exist; the PDF action tests showed raw pdfBytes/html were returned, missing storage still printed successfully, and pending print was reported as success.
main-based-connector-pdf-phase-2-keep-097	2026-08-31T12:50:37.8037370+09:00	A host-owned generated-report sink and path-free PDF artifact reference should make PDF output durable without changing the pure write engine	Added safe byte persistence, generated/reports bootstrap wiring, fresh/resumed runtime injection, fail-closed PDF adapter behavior, stale mock alignment, and documentation/tests	PASS	KEEP	Focused PDF/store/runtime checks passed 3 files/41 tests; full Core passed 124 files/641 tests with 3 skips; Desktop typecheck, document-engine 17 tests with 2 skips, integration 9/58, Product QA/E2E 4 tests including 14 scenarios, knip, evaluation 11/11, architecture, production build, and diff check passed. Existing .gitignore was preserved.
pr117-correctness-red-098	2026-08-31T13:37:25.7455661+09:00	The reviewed Work Discovery publish/runtime seams should expose missing session metadata, incorrect RDB output binding, raw-row transform failure, and lost multi-source inputs before implementation	Added focused compile, transform, and binding regression tests without changing production code	FAIL	INCONCLUSIVE	The focused loop failed 5 tests: compiled document lacked sessionId; RDB transform binding used sheet instead of rows and omitted snapshot.rdb:targets; raw RDB aggregation raised aggregate_input_not_table; multi-source binding left params.tables undefined.
pr117-correctness-keep-099	2026-08-31T13:43:35.6857397+09:00	Persisting the Discovery session id, selecting the source-declared output port, normalizing raw table rows, and grouping extra snapshot bindings should make compiled RDB Workflows execute without changing RDB query results	Added focused compiler/transform/binding fixes plus a compiled-workflow runtime regression test	PASS	KEEP	Focused loop passed 4 files/19 tests; Core full suite passed 124 files/647 tests with 3 skips; Core and desktop typechecks passed. The compiled runtime test exercised two raw RDB reads, binding application, transform evaluation, and returned 50 successfully.
pr117-correctness-arch-red-100	2026-08-31T13:44:37.8784806+09:00	The compiled-workflow runtime regression should remain within the repository dependency boundaries	Placed the integration test under work-discovery/compile and ran the architecture check	FAIL	DISCARD	Architecture check reported work-discovery-no-connector-impl because the test imported modules/transform directly; the test location was replaced with the existing testing/e2e boundary.
pr117-correctness-arch-keep-101	2026-08-31T13:47:13.6094620+09:00	The compiled-workflow runtime regression should remain within the repository dependency boundaries	Moved the integration test to packages/core/src/testing/e2e and reran architecture plus its focused test	PASS	KEEP	Architecture check passed with zero violations across 505 modules/1769 dependencies, and the compiled-workflow runtime test passed 1/1.
main-based-connector-pdf-phase-3-baseline-102	2026-08-31T14:03:16.3349780+09:00	Persisted generated PDFs should be visible and exportable without exposing storage paths or bytes to the renderer	Ran the new export/state-summary evaluator before adding its test seams or implementation	FAIL	BASELINE	Focused export/state-summary command failed with no test files; Core passed 125 files/649 tests with 3 skips; Core/Desktop/test typechecks, architecture (505 modules/1769 dependencies), production build, integration (10 files/59 tests), Electron Product QA/E2E (4 tests including 14-scenario batch), and diff-whitespace passed. The current Activity state has no generated PDF field or export IPC.
main-based-connector-pdf-phase-3-red-103	2026-08-31T14:11:29.4425657+09:00	The new PDF export and sanitized execution-summary seams must fail before their implementation exists	Added focused artifact export and execution-log summary tests before completing the production boundary	FAIL	INCONCLUSIVE	The focused suite initially failed because artifact-handlers.ts and execution-log-summary.ts did not exist; after the test fixture setup was corrected, the tests exercised the intended missing production seams.
main-based-connector-pdf-phase-3-keep-104	2026-08-31T14:26:14.4605446+09:00	A main-owned export boundary with sanitized Activity metadata should make persisted generated PDFs usable without exposing storage paths or bytes	Added opaque-ID export IPC, canonical generated-root and file validation, path-free execution-log projection, preload/types/UI wiring, and focused regression coverage	PASS	KEEP	Focused export/state-summary tests passed 2 files/7 tests; Core passed 125 files/649 tests with 3 skips; Core/Desktop/test typechecks, architecture, production build, integration 10 files/59 tests, Product QA/E2E 4 tests including 14 scenarios, and diff check passed. Completed Codex Security diff scan found 0 findings across 13 reviewed items. Existing .gitignore and provider behavior were preserved.
main-based-connector-webhook-vertical-slice-red-106	2026-08-31T15:46:04.4438963+09:00	Listener health and failed connection lifecycle must be visible at public seams before implementation	Added duplicate-event/Activity and port-collision assertions to TriggerEngine tests, plus Webhook renderer-summary and connection-lifecycle regression tests	FAIL	INCONCLUSIVE	The existing Webhook flow passed its prior tests and duplicate-event behavior already passed, but the new port-health test failed because pushTransportStatus is absent; the renderer summary stayed connected on error and a refresh failure left the stored connection connected. Existing .gitignore was preserved.
main-based-connector-webhook-vertical-slice-baseline-105	2026-08-31T15:41:48.8612389+09:00	The Webhook product path needs a failing public seam before adding listener-health state, duplicate-event coverage, lifecycle coverage, or a local sender	Ran the frozen Webhook evaluator on the latest origin/main before production changes	FAIL	BASELINE	Core Webhook-focused tests passed 3 files/30 tests; Desktop state summary 1/1; integration 10 files/59 tests; Core/Desktop/test typechecks, architecture, production build, Product QA/E2E 4 tests, and diff check passed. The manual fixture check failed because test/manual/webhook.mjs does not exist, and the current connection summary can report store.connected without listener health. Existing .gitignore was preserved.
main-based-connector-webhook-evaluator-revision-107	2026-08-31T15:51:41.3129859+09:00	Desktop typecheck must build the Core declaration output before checking the Desktop consumer after a Core public interface change	Updated only the Webhook evaluator command to run the Core build first, then ran the revised check	PASS	KEEP	Core build followed by Desktop typecheck passed. The original standalone Desktop typecheck failure was generated by a stale ignored packages/core/dist declaration, not a source type error; the revised evaluator is self-contained. Existing .gitignore was preserved.
main-based-connector-webhook-product-qa-red-108	2026-08-31T16:30:24.5365020+09:00	A final-product startup must survive an unreadable persisted connector secret so the user can reopen settings and reconnect it	Ran the live Product QA launcher against the current main-based working tree	FAIL	INCONCLUSIVE	Both Electron scenarios timed out during launch because Slack safeStorage.decryptString rejected a persisted ciphertext; the app exited before the first window became available. The failure is recoverable connector state, not a Webhook listener failure. Existing .gitignore was preserved.
main-based-connector-webhook-product-qa-keep-109	2026-08-31T16:43:38.2827736+09:00	Treating an unreadable Slack OS credential as connector-level recovery state should keep the desktop startup available without exposing the stored secret	Caught Slack credential hydration read failures, persisted only safe metadata plus a reconnect message, and surfaced the message in the disconnected capability status	PASS	KEEP	Focused Slack recovery/status tests passed 2/2; live Product QA passed 2/2 after the patch; full Core passed 125 files/651 tests with 3 skips; integration 11 files/72 tests; deterministic Product QA/E2E 4 tests; typechecks, architecture, production build, knip, and diff checks passed. Final Codex Security diff scan ec906d1f-0d4f-4246-98f3-1eedccfe7fbc reported 0 findings across 19 formal diff items. Existing .gitignore was preserved.
security-report-webhook-redirect-baseline-110	2026-08-31T17:44:27.4465588+09:00	The manual Webhook sender must prove whether initial loopback validation survives automatic redirects before changing its fetch boundary	Added a black-box two-origin regression for direct shared-secret/HMAC delivery, 302/307 redirect handling, and network-free check mode	FAIL	BASELINE	Direct shared-secret/HMAC 202 and --check passed, but all three 302/307 attempts reached the second origin; focused Core Webhook 32/32, full Core 651 with 3 skips, production build, architecture, and diff checks passed.
security-report-webhook-redirect-review-111	2026-08-31T17:53:32.9665788+09:00	Root CI wiring must preserve the existing npm test argument-forwarding contract	Put the Core test command before the new manual security command in the first candidate	FAIL	DISCARD	Independent review identified and npm test -- --help confirmed that Core ran without the argument and --help reached the second npm command; the command order was revised.
security-report-webhook-redirect-keep-112	2026-08-31T17:53:32.9665788+09:00	Manual redirect handling at the shared fetch sink should block every redirect without changing supported delivery or test ergonomics	Set redirect to manual, added shared-secret/HMAC two-origin coverage, wired it into root CI with Core last, and documented fail-closed behavior	PASS	KEEP	Node 22 and 24 black-box tests passed 3/3 with zero destination requests; Core Webhook passed 32/32; root passed manual 3/3 plus Core 651 with 3 skips; build, architecture, argument forwarding, independent review, and diff checks passed.
